resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,pitstopId
48,20,2,2,3,6,4,4,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,1,2_20
49,20,5,1,23,5,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1,5_20
50,20,15,7,11,7,6,6,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,1,15_20
51,20,17,9,10,11,7,7,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,1,17_20
52,20,3,3,7,8,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,1,3_20
53,20,10,7,12,13,9,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,1,10_20
54,20,4,4,5,10,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,1,4_20
55,20,22,11,17,12,11,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,22_20
56,20,21,10,21,18,12,12,12,0.0,56,\N,\N,56,11,1:35.057,204.963,11,21_20
57,20,1,1,22,3,13,13,13,0.0,56,\N,\N,25,19,1:35.520,203.969,11,1_20
58,20,6,3,8,16,14,14,14,0.0,56,\N,\N,30,17,1:35.433,204.155,11,6_20
59,20,7,5,14,15,15,15,15,0.0,56,\N,\N,33,15,1:35.333,204.369,11,7_20
60,20,19,8,19,21,16,16,16,0.0,56,\N,\N,45,14,1:35.324,204.389,11,19_20
61,20,11,8,18,22,17,17,17,0.0,56,\N,\N,56,20,1:35.891,203.180,11,11_20
62,20,14,9,9,17,18,18,18,0.0,56,\N,\N,43,16,1:35.351,204.331,11,14_20
63,20,16,10,20,20,19,19,19,0.0,56,\N,\N,55,18,1:35.442,204.136,12,16_20
64,20,12,4,6,14,\N,R,20,0.0,40,\N,\N,31,12,1:35.129,204.808,6,12_20
65,20,18,11,16,9,\N,R,21,0.0,19,\N,\N,11,21,1:36.125,202.686,4,18_20
66,20,20,5,15,19,\N,R,22,0.0,0,\N,\N,\N,\N,\N,\N,5,20_20
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1,8_21
68,21,13,6,2,3,2,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1,13_21
69,21,1,1,22,5,3,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1,1_21
70,21,9,2,4,4,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,1,9_21
71,21,17,9,10,7,5,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,1,17_21
72,21,18,11,16,13,6,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,1,18_21
73,21,6,3,8,12,7,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,1,6_21
74,21,15,7,11,8,8,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,1,15_21
75,21,2,2,3,9,9,9,9,0.0,66,+1:03.073,5962124,21,7,1:22.519,203.080,1,2_21
76,21,21,10,21,19,10,10,10,0.0,65,\N,\N,40,14,1:23.439,200.841,11,21_21
77,21,10,7,12,14,11,11,11,0.0,65,\N,\N,57,12,1:23.007,201.886,11,10_21
78,21,14,9,9,17,12,12,12,0.0,65,\N,\N,57,11,1:22.842,202.288,11,14_21
79,21,11,8,18,22,13,13,13,0.0,65,\N,\N,34,17,1:24.617,198.045,11,11_21
80,21,3,3,7,15,\N,R,14,0.0,41,\N,\N,20,13,1:23.319,201.130,5,3_21
81,21,4,4,5,2,\N,R,15,0.0,34,\N,\N,15,9,1:22.683,202.677,5,4_21
82,21,22,11,17,11,\N,R,16,0.0,34,\N,\N,21,16,1:23.858,199.837,4,22_21
83,21,5,1,23,6,\N,R,17,0.0,21,\N,\N,19,6,1:22.453,203.243,3,5_21
84,21,19,8,19,21,\N,R,18,0.0,8,\N,\N,6,20,1:26.864,192.922,21,19_21
85,21,7,5,14,16,\N,R,19,0.0,7,\N,\N,6,19,1:25.999,194.862,4,7_21
86,21,12,4,6,10,\N,R,20,0.0,6,\N,\N,6,18,1:25.444,196.128,4,12_21
87,21,16,10,20,20,\N,R,21,0.0,0,\N,\N,\N,\N,\N,\N,4,16_21
88,21,20,5,15,18,\N,R,22,0.0,0,\N,\N,\N,\N,\N,\N,4,20_21
89,22,13,6,2,1,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1,13_22
90,22,1,1,22,3,2,2,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,1,1_22
91,22,8,6,1,4,3,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1,8_22
92,22,9,2,4,5,4,4,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,1,9_22
93,22,2,2,3,9,5,5,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,1,2_22
94,22,4,4,5,7,6,6,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,1,4_22
95,22,17,9,10,6,7,7,7,2.0,58,+1:04.229,5273680,14,7,1:27.630,219.294,1,17_22
96,22,3,3,7,11,8,8,8,1.0,58,+1:11.406,5280857,55,9,1:27.795,218.882,1,3_22
97,22,14,9,9,10,9,9,9,0.0,58,+1:15.270,5284721,41,12,1:27.966,218.457,1,14_22
98,22,15,7,11,8,10,10,10,0.0,58,+1:16.344,5285795,52,11,1:27.926,218.556,1,15_22
99,22,18,11,16,13,11,11,11,0.0,57,\N,\N,57,13,1:27.998,218.377,11,18_22
100,22,5,1,23,2,12,12,12,0.0,57,\N,\N,55,8,1:27.640,219.269,11,5_22
101,22,10,7,12,15,13,13,13,0.0,57,\N,\N,28,16,1:28.303,217.623,11,10_22
102,22,22,11,17,12,14,14,14,0.0,57,\N,\N,56,14,1:28.017,218.330,11,22_22
103,22,12,4,6,17,15,15,15,0.0,57,\N,\N,40,10,1:27.867,218.703,11,12_22
104,22,16,10,20,19,16,16,16,0.0,57,\N,\N,35,18,1:28.780,216.454,11,16_22
